시도명,시군구명,시설명,상세주소,경도,위도,수용가능인원수
충청북도,충주시,충주교현초등학교 운동장,충청북도 충주시 교현동 339-1,127.936678,36.974072,2833
충청북도,충주시,대가미공원,충청북도 충주시 교현동 714-0,127.925197,36.980898,10800
충청북도,충주시,충주중앙중학교 운동장,충청북도 충주시 교현동 1088-0,127.930701,36.981533,1417
충청북도,청주시,석성초등학교 운동장,충청북도 청주시 청원구 북이면 내둔리 344,127.51374087453421,36.74848427755441,2608
충청북도,충주시,충주 관아공원,충청북도 충주시 성내동 232-2,127.936202,36.970501,1297
충청북도,충주시,충주여자중학교 운동장,충청북도 충주시 교현동 369-1,127.934404,36.975957,2283
충청북도,청주시 청원구,대길초등학교 운동장,충청북도 청주시 청원구 북이면 대길리 228,127.55872753147762,36.7323584237813,1267
충청북도,청주시 청원구,북이초등학교 운동장,충청북도 청주시 청원구 북이면 내추리 2-3,127.55554832230935,36.76165220274669,3333
충청북도,청주시 청원구,각리중학교 운동장,충청북도 청주시 청원구 오창읍 각리 637-4,127.42189433167272,36.70875700307633,1653
충청북도,청주시,북이면사무소 주차장,충청북도 청주시 청원구 북이면 신대리 4-8,127.54190751450784,36.73919298440515,1000
충청북도,청주시 청원구,오창초등학교 운동장,충청북도 청주시 청원구 오창읍 장대리 238,127.45782100263102,36.74029905707404,4142
충청북도,청주시 청원구,각리초등학교 운동장,충청북도 청주시 청원구 오창읍 각리 646-2,127.4241873941267,36.706407487663014,1079
충청북도,제천시,동명초등학교 운동장,충청북도 제천시 천남동 9-45,128.1940202237496,37.13333339366881,619
충청북도,제천시,명지초등학교 운동장,충청북도 제천시 명지동 46-0,128.2054072656209,37.11844776230591,4259
충청북도,제천시,제천시청,충청북도 제천시 천남동 12-2,128.19125719598853,37.13248861744821,6667
충청북도,제천시,제천동중학교 운동장,충청북도 제천시 신백동 21-0,128.23438922710355,37.13273933412353,1698
충청북도,제천시,내토초등학교 운동장,충청북도 제천시 신백동 132-0,128.22884463748372,37.13408970311929,1360
충청북도,제천시,신백초등학교 운동장,충청북도 제천시 신백동 212-7,128.22633255633826,37.128248801002,1265
충청북도,제천시,제천상업고등학교 운동장,충청북도 제천시 신백동 182-3,128.2282301106867,37.13319796406564,5167
충청북도,제천시,두학초등학교 운동장,충청북도 제천시 흑석동 436-0,128.24481763879191,37.13440698489407,1019
충청북도,제천시,내토중학교 운동장,충청북도 제천시 장락동 687-1,128.22220921702566,37.144697223523515,1123
충청북도,제천시,장락초등학교 운동장,충청북도 제천시 장락동 626-0,128.22256772279943,37.15430712595068,935
충청북도,제천시,대제중학교 운동장,충청북도 제천시 청전동 526-22,128.19997757635994,37.147024579173646,997
충청북도,제천시,의림지동주민센터 앞(비행장),충청북도 제천시 고암동 1179-1,128.21505283747746,37.16262173550178,28333
충청북도,제천시,제천시립도서관,충청북도 제천시 장락동 672-8,128.22057752992157,37.14502438601789,400
충청북도,제천시,제천여자중학교 운동장,충청북도 제천시 청전동 71-1,128.21895897772126,37.15323750379251,9161
충청북도,제천시,중앙초등학교 운동장,충청북도 제천시 청전동 625-0,128.21516361604836,37.1529359302545,1378
충청북도,제천시,제천보건복지센터,충청북도 제천시 청전동 110-0,128.21588265768335,37.148950409834185,2067
충청북도,제천시,제천고등학교 운동장,충청북도 제천시 청전동 162-0,128.2169855728486,37.14296889194094,3013
충청북도,제천시,대원대학교 운동장,충청북도 제천시 신월동 599-0,128.19140341760334,37.17579546798715,5957
충청북도,제천시,세명대학교 운동장,충청북도 제천시 신월동 557-0,128.19790753995173,37.1800176394354,6448
충청북도,제천시,용두초등학교 운동장,충청북도 제천시 하소동 405-0,128.1969040294983,37.14368553111228,1700
충청북도,제천시,제천의림여자중학교 운동장,충청북도 제천시 하소동 49-2,128.19756470379394,37.142458162851234,4374
충청북도,제천시,남당초등학교 운동장,충청북도 제천시 영천동 760-0,128.202471777215,37.13053402309271,4881
충청북도,제천시,화산초등학교 운동장,충청북도 제천시 화산동 606-0,128.21351591162636,37.12992586645327,1650
충청북도,제천시,제천중앙공원,충청북도 제천시 중앙로2가 26-1,128.21062631278411,37.13957372404277,367
충청북도,제천시,제천종합운동장,충청북도 제천시 화산동 1-0,128.21781054477657,37.13018895503688,3833
충청북도,제천시,제천체육관의병광장,충청북도 제천시 화산동 128-1,128.21505013144989,37.13083632791308,2167
충청북도,제천시,남천초등학교 운동장,충청북도 제천시 남천동 260-0,128.21659093898876,37.136669728158296,5667
충청북도,제천시,제천제일고등학교 운동장,충청북도 제천시 동현동 15-3,128.22059316186807,37.13489451699092,3667
충청북도,제천시,제천여자고등학교 운동장,충청북도 제천시 서부동 740-0,128.20451012318816,37.136028501482,2167
충청북도,제천시,의림초등학교 운동장,충청북도 제천시 의림동 186-0,128.20681913988176,37.141103708780804,5640
충청북도,제천시,제천중학교 운동장,충청북도 제천시 서부동 251-0,128.20394550656383,37.13900817908991,5000
충청북도,충주시,소태초등학교 운동장,충청북도 충주시 소태면 오량리 199-0,127.846911,37.110879,1350
충청북도,충주시,산척초등학교 운동장,충청북도 충주시 산척면 송강리 1282-1,127.957837,37.079280,2420
충청북도,충주시,엄정초등학교 운동장,충청북도 충주시 엄정면 용산리 460-0,127.916232,37.087073,1500
충청북도,충주시,동량초등학교 운동장,충청북도 충주시 동량면 조동리 1426-1,127.965509,37.027338,1500
충청북도,충주시,중앙탑초등학교 운동장,충청북도 충주시 중앙탑면 용전리 691-0,127.830226,37.016304,733
충청북도,충주시,금가초등학교 운동장,충청북도 충주시 금가면 도촌리 400-1,127.922549,37.043817,1467
충청북도,보은군,마로면사무소 공터,충청북도 보은군 마로면 관기리 293-0,127.820381,36.435506,267
충청북도,보은군,세중초등학교 운동장,충청북도 보은군 마로면 세중리 575-2,127.829288,36.387963,1033
충청북도,충주시,중원체육공원,충청북도 충주시 중앙탑면 206-3,127.856939,37.029979,2683
충청북도,보은군,속리초등학교 운동장,충청북도 보은군 장안면 장안리 243-2,127.789339,36.470891,1167
충청북도,보은군,장안면사무소 공터,충청북도 보은군 장안면 장안리 265-3,127.789081,36.469794,350
충청북도,보은군,관기초등학교 운동장,충청북도 보은군 마로면 관기리 297-0,127.821216,36.435447,1200
충청북도,보은군,서원리 마을회관 공터,충청북도 보은군 장안면 서원리 299-1,127.798349,36.479771,36
충청북도,보은군,수정초등학교 운동장,충청북도 보은군 속리산면 사내리 181-1,127.822021,36.535839,1333
충청북도,보은군,만수리 마을회관 공터,충청북도 보은군 속리산면 만수리 44-2,127.887852,36.514425,28
충청북도,보은군,속리산면사무소 공터,충청북도 보은군 속리산면 상판리 196-0,127.81047,36.512305,240
충청북도,보은군,종곡초등학교 운동장,충청북도 보은군 보은읍 강신리 54-0,127.749635,36.501605,1167
충청북도,보은군,농업기술센터 주차장,충청북도 보은군 보은읍 강산리 55-2,127.714755,36.503824,667
충청북도,보은군,뱃들공원 공터,충청북도 보은군 보은읍 이평리 175-1,127.723292,36.486351,250
충청북도,보은군,보은국민체육센터 공터,충청북도 보은군 보은읍 이평리 45-6,127.730051,36.48774,3200
충청북도,보은군,보은중학교 운동장,충청북도 보은군 보은읍 이평리 30-1,127.727326,36.485289,1900
충청북도,보은군,충북생명산업고등학교 운동장,충청북도 보은군 보은읍 교사리 123-0,127.715341,36.492013,2167
충청북도,보은군,보은정보고등학교 운동장,충청북도 보은군 보은읍 성주리 171-2,127.734215,36.490755,1233
충청북도,보은군,동광초등학교 운동장,충청북도 보은군 보은읍 교사리 54-1,127.718609,36.487598,1167
충청북도,보은군,보은고등학교 운동장,충청북도 보은군 보은읍 죽전리 61-0,127.721263,36.475325,2767
충청북도,보은군,보은여중고등학교 운동장,충청북도 보은군 보은읍 교사리 116-2,127.716806,36.494435,1833
